SDA,sfy,demo,rgrp31,rgrp32,rgrp41,rgrp42,rgrp62,rgrp61,ord
Jefferson SDA,2013,N,123.0,759.0,209.0,1602.0,26.0,150.0,0
Jefferson SDA,2013,Age,11.372764153,10.753728518,37.539378335,41.79875818,67.39423209,55.873733978,1
Jefferson SDA,2013,Female,0.4471544715,0.5006587615,0.4784688995,0.6004993758,0.7307692308,0.6666666667,2
Jefferson SDA,2013,White,0.3821138211,0.511198946,0.3923444976,0.4013732834,0.5769230769,0.5466666667,3
Jefferson SDA,2013,Black,0.3902439024,0.2700922266,0.2775119617,0.3083645443,0.1923076923,0.3,4
Jefferson SDA,2013,FFS,0.1056910569,0.0816864295,0.3157894737,0.2671660424,0.3076923077,0.0,5
Jefferson SDA,2013,Dual Eligible,0.0,0.0,0.2248803828,0.2365792759,0.8846153846,0.0066666667,6
Jefferson SDA,2013,Comorbidity Index,1.2601626016,0.4716732543,3.2966507177,3.2353308365,4.6538461538,6.66,7
Jefferson SDA,2014,N,90.0,462.0,315.0,1276.0,19.0,46.0,0
Jefferson SDA,2014,Age,12.004444377,11.059848411,43.046476564,39.931802889,53.553158409,56.879348423,1
Jefferson SDA,2014,Female,0.4,0.5064935065,0.4666666667,0.6065830721,0.7368421053,0.6304347826,2
Jefferson SDA,2014,White,0.5555555556,0.3982683983,0.3238095238,0.381661442,0.3157894737,0.4565217391,3
Jefferson SDA,2014,Black,0.2555555556,0.3051948052,0.3873015873,0.2813479624,0.3684210526,0.4130434783,4
Jefferson SDA,2014,FFS,0.0888888889,0.0952380952,0.1555555556,0.302507837,0.0526315789,0.0,5
Jefferson SDA,2014,Dual Eligible,0.0,0.0,0.2253968254,0.2006269592,0.4210526316,0.0434782609,6
Jefferson SDA,2014,Comorbidity Index,1.3444444444,0.6168831169,3.4317460317,3.1465517241,4.5263157895,6.9347826087,7
Jefferson SDA,2015,N,177.0,706.0,361.0,1483.0,8.0,,0
Jefferson SDA,2015,Age,12.016384103,11.081685479,37.472715056,40.390829788,66.767501831,,1
Jefferson SDA,2015,Female,0.3898305085,0.5028328612,0.5346260388,0.6062036413,0.625,,2
Jefferson SDA,2015,White,0.4971751412,0.4178470255,0.4293628809,0.3432231962,0.25,,3
Jefferson SDA,2015,Black,0.2485875706,0.3045325779,0.1966759003,0.2703978422,0.5,,4
Jefferson SDA,2015,FFS,0.1412429379,0.0481586402,0.2825484765,0.291301416,0.0,,5
Jefferson SDA,2015,Dual Eligible,0.0,0.0,0.2797783934,0.1921780175,0.75,,6
Jefferson SDA,2015,Comorbidity Index,1.0451977401,0.597733711,3.1966759003,3.2400539447,6.375,,7
Jefferson SDA,2016,N,180.0,2396.0,279.0,1802.0,694.0,20.0,0
Jefferson SDA,2016,Age,12.030833256,10.109077554,37.789857017,33.228812758,56.83221994,65.692001152,1
Jefferson SDA,2016,Female,0.5,0.4962437396,0.5017921147,0.5543840178,0.6498559078,0.85,2
Jefferson SDA,2016,White,0.5111111111,0.4394824708,0.3727598566,0.2641509434,0.5850144092,0.45,3
Jefferson SDA,2016,Black,0.2111111111,0.2199499165,0.229390681,0.21809101,0.1700288184,0.25,4
Jefferson SDA,2016,FFS,0.0888888889,0.0434056761,0.3046594982,0.4289678135,0.1340057637,0.15,5
Jefferson SDA,2016,Dual Eligible,0.0,0.0,0.2688172043,0.1331853496,0.4063400576,0.95,6
Jefferson SDA,2016,Comorbidity Index,1.3055555556,0.581803005,3.7562724014,2.9350721421,5.0345821326,6.75,7
Jefferson SDA,2017,N,383.0,2403.0,289.0,1889.0,782.0,102.0,0
Jefferson SDA,2017,Age,10.543733604,10.305051945,31.469135179,34.824574158,58.246765673,62.022746161,1
Jefferson SDA,2017,Female,0.3812010444,0.4864752393,0.4775086505,0.5648491265,0.6598465473,0.6666666667,2
Jefferson SDA,2017,White,0.4046997389,0.4128173117,0.2941176471,0.2699841186,0.5485933504,0.4509803922,3
Jefferson SDA,2017,Black,0.3864229765,0.2122347066,0.2283737024,0.2239280042,0.1879795396,0.2450980392,4
Jefferson SDA,2017,FFS,0.0992167102,0.0391177695,0.1453287197,0.3954473266,0.1572890026,0.0098039216,5
Jefferson SDA,2017,Dual Eligible,0.0,0.0,0.1799307958,0.138168343,0.4296675192,0.8431372549,6
Jefferson SDA,2017,Comorbidity Index,0.8120104439,0.5605493134,2.8823529412,2.9994706194,5.104859335,5.3823529412,7
Jefferson SDA,2018,N,430.0,3089.0,380.0,2116.0,914.0,66.0,0
Jefferson SDA,2018,Age,11.001185973,9.9884881111,30.341368641,32.633010639,58.91619352,67.415001089,1
Jefferson SDA,2018,Female,0.4395348837,0.4936872774,0.4447368421,0.5463137996,0.6433260394,0.7121212121,2
Jefferson SDA,2018,White,0.4279069767,0.4185820654,0.3026315789,0.2570888469,0.5120350109,0.4545454545,3
Jefferson SDA,2018,Black,0.3418604651,0.1790223373,0.1894736842,0.2235349716,0.2035010941,0.3333333333,4
Jefferson SDA,2018,FFS,0.011627907,0.0119779864,0.0842105263,0.0661625709,0.1455142232,0.0303030303,5
Jefferson SDA,2018,Dual Eligible,0.0,0.0,0.1289473684,0.1063327032,0.4628008753,0.8939393939,6
Jefferson SDA,2018,Comorbidity Index,1.1139534884,0.4872126902,2.5,2.7145557656,5.0776805252,6.5,7
Lubbock SDA,2013,N,47.0,414.0,33.0,679.0,,,0
Lubbock SDA,2013,Age,11.697233971,9.7838163531,39.95545474,42.063844297,,,1
Lubbock SDA,2013,Female,0.2978723404,0.5024154589,0.6060606061,0.5419734904,,,2
Lubbock SDA,2013,White,0.3404255319,0.4057971014,0.5151515152,0.4388807069,,,3
Lubbock SDA,2013,Black,0.0638297872,0.0942028986,0.0909090909,0.0972017673,,,4
Lubbock SDA,2013,FFS,0.1276595745,0.1280193237,0.3636363636,0.2857142857,,,5
Lubbock SDA,2013,Dual Eligible,0.0,0.0,0.4848484848,0.3136966127,,,6
Lubbock SDA,2013,Comorbidity Index,1.2765957447,0.577294686,4.2424242424,3.1089837997,,,7
Lubbock SDA,2014,N,132.0,433.0,87.0,1121.0,118.0,15.0,0
Lubbock SDA,2014,Age,12.935227192,10.328891386,39.398391219,43.287413479,73.990255711,59.946000926,1
Lubbock SDA,2014,Female,0.5606060606,0.4595842956,0.4252873563,0.5209634255,0.6355932203,0.6666666667,2
Lubbock SDA,2014,White,0.3333333333,0.3464203233,0.5402298851,0.3577163247,0.3389830508,0.3333333333,3
Lubbock SDA,2014,Black,0.1363636364,0.103926097,0.1034482759,0.1605709188,0.1271186441,0.2,4
Lubbock SDA,2014,FFS,0.0454545455,0.0946882217,0.2643678161,0.312221231,0.313559322,0.0,5
Lubbock SDA,2014,Dual Eligible,0.0,0.0,0.1494252874,0.3140053524,0.9830508475,0.2,6
Lubbock SDA,2014,Comorbidity Index,1.3257575758,0.5796766744,4.8275862069,3.2426404996,5.8644067797,6.9333333333,7
Lubbock SDA,2015,N,129.0,839.0,127.0,945.0,133.0,22.0,0
Lubbock SDA,2015,Age,12.969069681,10.525840209,38.173307419,42.432286128,73.432407408,61.158637827,1
Lubbock SDA,2015,Female,0.5736434109,0.4553039333,0.4960629921,0.5121693122,0.6842105263,0.8181818182,2
Lubbock SDA,2015,White,0.3333333333,0.3528009535,0.4488188976,0.3365079365,0.3383458647,0.3181818182,3
Lubbock SDA,2015,Black,0.1550387597,0.1120381406,0.1023622047,0.1576719577,0.1127819549,0.1818181818,4
Lubbock SDA,2015,FFS,0.0465116279,0.0381406436,0.3622047244,0.3523809524,0.3609022556,0.0,5
Lubbock SDA,2015,Dual Eligible,0.0,0.0,0.3070866142,0.3671957672,0.962406015,0.4545454545,6
Lubbock SDA,2015,Comorbidity Index,1.5426356589,0.5506555423,3.7716535433,3.1693121693,5.1879699248,8.0909090909,7
Lubbock SDA,2016,N,105.0,1031.0,68.0,1189.0,189.0,56.0,0
Lubbock SDA,2016,Age,12.015047546,10.506440279,38.212794556,45.480210748,65.404128241,59.859643664,1
Lubbock SDA,2016,Female,0.4952380952,0.4859359845,0.5147058824,0.5534062237,0.7407407407,0.625,2
Lubbock SDA,2016,White,0.3428571429,0.3443258972,0.3235294118,0.3162321278,0.2962962963,0.1964285714,3
Lubbock SDA,2016,Black,0.1142857143,0.0863239573,0.0882352941,0.1312026913,0.1322751323,0.1071428571,4
Lubbock SDA,2016,FFS,0.0285714286,0.05528613,0.3382352941,0.3204373423,0.2380952381,0.0,5
Lubbock SDA,2016,Dual Eligible,0.0,0.0,0.3382352941,0.3406223717,0.7671957672,0.1964285714,6
Lubbock SDA,2016,Comorbidity Index,1.6571428571,0.5421920466,4.0294117647,3.9402859546,6.3650793651,6.25,7
Lubbock SDA,2017,N,133.0,2516.0,151.0,2410.0,148.0,33.0,0
Lubbock SDA,2017,Age,12.392706692,9.985576241,42.126093152,45.047651921,65.077163464,70.411819227,1
Lubbock SDA,2017,Female,0.6015037594,0.5,0.5430463576,0.5746887967,0.7702702703,0.696969697,2
Lubbock SDA,2017,White,0.3834586466,0.252782194,0.3443708609,0.3149377593,0.222972973,0.303030303,3
Lubbock SDA,2017,Black,0.1278195489,0.1069157393,0.059602649,0.1203319502,0.1351351351,0.0909090909,4
Lubbock SDA,2017,FFS,0.1127819549,0.0488871224,0.1854304636,0.3593360996,0.1756756757,0.0,5
Lubbock SDA,2017,Dual Eligible,0.0,0.0,0.3245033113,0.3518672199,0.7905405405,0.8181818182,6
Lubbock SDA,2017,Comorbidity Index,1.3082706767,0.4065977742,4.0066225166,3.5726141079,5.2837837838,6.2424242424,7
Lubbock SDA,2018,N,181.0,2105.0,215.0,2017.0,82.0,19.0,0
Lubbock SDA,2018,Age,11.445856276,10.390199452,40.177581809,42.169460002,71.716708858,72.956317701,1
Lubbock SDA,2018,Female,0.4917127072,0.5201900238,0.4930232558,0.5835399108,0.6585365854,0.6315789474,2
Lubbock SDA,2018,White,0.3149171271,0.2574821853,0.4046511628,0.3118492811,0.2317073171,0.3684210526,3
Lubbock SDA,2018,Black,0.138121547,0.0812351544,0.0976744186,0.0932077343,0.1341463415,0.1052631579,4
Lubbock SDA,2018,FFS,0.0165745856,0.0128266033,0.2558139535,0.1735250372,0.3902439024,0.0526315789,5
Lubbock SDA,2018,Dual Eligible,0.0,0.0,0.3348837209,0.3044124938,0.9512195122,1.0,6
Lubbock SDA,2018,Comorbidity Index,1.0220994475,0.4636579572,3.6279069767,3.4278631631,5.5731707317,7.2105263158,7
MRSA Central,2013,N,356.0,1198.0,486.0,2075.0,17.0,,0
MRSA Central,2013,Age,12.253735874,10.390676056,29.226275884,37.492019685,62.781177521,,1
MRSA Central,2013,Female,0.441011236,0.530884808,0.4320987654,0.5768674699,0.7647058824,,2
MRSA Central,2013,White,0.4073033708,0.3555926544,0.2654320988,0.3291566265,0.4705882353,,3
MRSA Central,2013,Black,0.2668539326,0.1903171953,0.2201646091,0.2438554217,0.0588235294,,4
MRSA Central,2013,FFS,0.1095505618,0.0993322204,0.4547325103,0.5812048193,0.8823529412,,5
MRSA Central,2013,Dual Eligible,0.0,0.0008347245,0.1913580247,0.3595180723,0.8823529412,,6
MRSA Central,2013,Comorbidity Index,1.1404494382,0.5484140234,2.1769547325,2.4212048193,4.7647058824,,7
MRSA Central,2014,N,436.0,1251.0,421.0,2026.0,17.0,,0
MRSA Central,2014,Age,12.198187994,10.441550692,34.150427884,38.853312378,65.108824337,,1
MRSA Central,2014,Female,0.4151376147,0.518784972,0.486935867,0.5834155972,0.6470588235,,2
MRSA Central,2014,White,0.4197247706,0.3285371703,0.270783848,0.3341559724,0.6470588235,,3
MRSA Central,2014,Black,0.2224770642,0.1782573941,0.2256532067,0.2053307009,0.0588235294,,4
MRSA Central,2014,FFS,0.0894495413,0.1119104716,0.5106888361,0.5651530109,0.8235294118,,5
MRSA Central,2014,Dual Eligible,0.002293578,0.0,0.2494061758,0.3450148075,0.8235294118,,6
MRSA Central,2014,Comorbidity Index,1.2752293578,0.520383693,2.8503562945,2.5256663376,3.5882352941,,7
MRSA Central,2015,N,411.0,10674.0,546.0,6536.0,60.0,,0
MRSA Central,2015,Age,12.314330818,9.8625856518,33.459872043,38.852709983,67.3461682,,1
MRSA Central,2015,Female,0.4598540146,0.5095559303,0.5054945055,0.5777233782,0.7833333333,,2
MRSA Central,2015,White,0.3795620438,0.3369870714,0.2820512821,0.3197674419,0.5833333333,,3
MRSA Central,2015,Black,0.2165450122,0.1982387109,0.2454212454,0.2086903305,0.1,,4
MRSA Central,2015,FFS,0.0827250608,0.0344762975,0.358974359,0.4354345165,0.3666666667,,5
MRSA Central,2015,Dual Eligible,0.0,0.0,0.2582417582,0.3636780906,0.8166666667,,6
MRSA Central,2015,Comorbidity Index,1.2530413625,0.4196177628,2.6886446886,2.8291003672,4.9,,7
MRSA Central,2016,N,461.0,10541.0,534.0,6279.0,88.0,,0
MRSA Central,2016,Age,11.582299276,9.9354235122,33.311854216,38.334701738,60.48613713,,1
MRSA Central,2016,Female,0.4902386117,0.5115264206,0.4737827715,0.5658544354,0.6363636364,,2
MRSA Central,2016,White,0.3600867679,0.3263447491,0.2827715356,0.2954292085,0.3068181818,,3
MRSA Central,2016,Black,0.2603036876,0.1947633052,0.1816479401,0.1895206243,0.4090909091,,4
MRSA Central,2016,FFS,0.0867678959,0.0369983872,0.4325842697,0.4271380793,0.0454545455,,5
MRSA Central,2016,Dual Eligible,0.0,0.0,0.2528089888,0.3734671126,0.3977272727,,6
MRSA Central,2016,Comorbidity Index,1.284164859,0.4546058249,3.0973782772,2.972447842,4.625,,7
MRSA Central,2017,N,462.0,1796.0,559.0,2069.0,35.0,,0
MRSA Central,2017,Age,11.727034556,10.27206563,36.867782088,37.945674622,62.656572614,,1
MRSA Central,2017,Female,0.487012987,0.4832962138,0.5098389982,0.5534074432,0.6,,2
MRSA Central,2017,White,0.3636363636,0.3285077951,0.3506261181,0.2808119865,0.2571428571,,3
MRSA Central,2017,Black,0.2272727273,0.166481069,0.1967799642,0.2039632673,0.4,,4
MRSA Central,2017,FFS,0.0930735931,0.0590200445,0.1842576029,0.4045432576,0.1142857143,,5
MRSA Central,2017,Dual Eligible,0.0,0.0,0.2325581395,0.3697438376,0.6,,6
MRSA Central,2017,Comorbidity Index,1.2229437229,0.5311804009,3.0858676208,2.9942000967,5.0571428571,,7
MRSA Central,2018,N,541.0,13630.0,450.0,8368.0,77.0,9.0,0
MRSA Central,2018,Age,11.728909347,10.010550919,37.504467032,37.452474049,61.491169942,71.190001594,1
MRSA Central,2018,Female,0.4842883549,0.5118855466,0.5311111111,0.5570028681,0.6493506494,0.3333333333,2
MRSA Central,2018,White,0.3678373383,0.296404989,0.3111111111,0.2789196941,0.2467532468,0.2222222222,3
MRSA Central,2018,Black,0.2384473198,0.1968451944,0.1888888889,0.1913240918,0.3506493506,0.3333333333,4
MRSA Central,2018,FFS,0.0092421442,0.0096111519,0.1244444444,0.148542065,0.2207792208,0.0,5
MRSA Central,2018,Dual Eligible,0.0,7.33676e-05,0.2266666667,0.2854923518,0.5974025974,0.8888888889,6
MRSA Central,2018,Comorbidity Index,1.2661737523,0.4197358767,3.2266666667,2.7940965583,4.2987012987,3.8888888889,7
MRSA Northeast,2013,N,375.0,1269.0,425.0,2949.0,6.0,,0
MRSA Northeast,2013,Age,10.921519928,9.9241764448,31.281741459,41.723869525,52.7600015,,1
MRSA Northeast,2013,Female,0.416,0.5161544523,0.4776470588,0.5873177348,0.5,,2
MRSA Northeast,2013,White,0.5066666667,0.3971631206,0.3835294118,0.514411665,0.3333333333,,3
MRSA Northeast,2013,Black,0.296,0.182821119,0.2047058824,0.2414377755,0.5,,4
MRSA Northeast,2013,FFS,0.104,0.0677698976,0.4705882353,0.4523567311,0.8333333333,,5
MRSA Northeast,2013,Dual Eligible,0.0,0.0,0.2141176471,0.3346897253,0.8333333333,,6
MRSA Northeast,2013,Comorbidity Index,0.9546666667,0.4460204886,2.2847058824,2.6598847067,3.0,,7
MRSA Northeast,2014,N,472.0,1500.0,421.0,3203.0,,,0
MRSA Northeast,2014,Age,10.666101617,10.10301993,29.701615431,36.708370657,,,1
MRSA Northeast,2014,Female,0.3771186441,0.522,0.4845605701,0.5501092726,,,2
MRSA Northeast,2014,White,0.5148305085,0.4953333333,0.3729216152,0.4339681549,,,3
MRSA Northeast,2014,Black,0.2754237288,0.1733333333,0.1448931116,0.1832656884,,,4
MRSA Northeast,2014,FFS,0.0847457627,0.0966666667,0.4014251781,0.5351233219,,,5
MRSA Northeast,2014,Dual Eligible,0.0,0.0,0.1472684086,0.3165782079,,,6
MRSA Northeast,2014,Comorbidity Index,0.9978813559,0.6873333333,2.4798099762,2.4911020918,,,7
MRSA Northeast,2015,N,481.0,3351.0,738.0,3796.0,170.0,,0
MRSA Northeast,2015,Age,10.729168323,10.067758804,39.246517959,37.924602556,62.608471725,,1
MRSA Northeast,2015,Female,0.4261954262,0.5192479857,0.5691056911,0.5732349842,0.7352941176,,2
MRSA Northeast,2015,White,0.5592515593,0.4294240525,0.4471544715,0.4233403583,0.5,,3
MRSA Northeast,2015,Black,0.2266112266,0.1698000597,0.2086720867,0.1917808219,0.3,,4
MRSA Northeast,2015,FFS,0.0644490644,0.0414801552,0.2696476965,0.4077976818,0.3058823529,,5
MRSA Northeast,2015,Dual Eligible,0.0,0.0,0.2886178862,0.3208640674,0.8647058824,,6
MRSA Northeast,2015,Comorbidity Index,0.8773388773,0.5243210982,3.2100271003,2.7120653319,4.8764705882,,7
MRSA Northeast,2016,N,562.0,3668.0,845.0,4451.0,29.0,,0
MRSA Northeast,2016,Age,11.266031954,10.326780189,37.564331705,40.549144395,61.246207796,,1
MRSA Northeast,2016,Female,0.4163701068,0.520174482,0.4934911243,0.6048079083,0.7931034483,,2
MRSA Northeast,2016,White,0.5622775801,0.4152126499,0.4082840237,0.3936194114,0.724137931,,3
MRSA Northeast,2016,Black,0.1921708185,0.2074700109,0.1798816568,0.2224219277,0.1724137931,,4
MRSA Northeast,2016,FFS,0.0818505338,0.0406215921,0.3479289941,0.3309368681,0.2413793103,,5
MRSA Northeast,2016,Dual Eligible,0.0,0.0,0.3207100592,0.3343068973,0.4482758621,,6
MRSA Northeast,2016,Comorbidity Index,0.9928825623,0.4585605234,3.9053254438,3.0339249607,6.5862068966,,7
MRSA Northeast,2017,N,558.0,5456.0,587.0,5327.0,169.0,13.0,0
MRSA Northeast,2017,Age,11.491451538,10.208588637,37.606559172,40.932025926,66.929587076,61.4907699,1
MRSA Northeast,2017,Female,0.4749103943,0.5174120235,0.5587734242,0.5834428384,0.6863905325,0.8461538462,2
MRSA Northeast,2017,White,0.517921147,0.398643695,0.3764906303,0.3647456354,0.4437869822,0.1538461538,3
MRSA Northeast,2017,Black,0.252688172,0.2184750733,0.1754684838,0.2263938427,0.2899408284,0.5384615385,4
MRSA Northeast,2017,FFS,0.0896057348,0.0427052786,0.1908006814,0.3363994744,0.1065088757,0.0,5
MRSA Northeast,2017,Dual Eligible,0.0,0.0,0.3032367973,0.325511545,0.7573964497,0.4615384615,6
MRSA Northeast,2017,Comorbidity Index,0.9623655914,0.4167888563,3.3151618399,3.0411113197,6.0295857988,5.4615384615,7
MRSA Northeast,2018,N,668.0,8203.0,757.0,7386.0,133.0,24.0,0
MRSA Northeast,2018,Age,11.274041842,10.139737827,38.144042593,37.593739857,64.808948517,54.392917474,1
MRSA Northeast,2018,Female,0.4595808383,0.5256613434,0.5284015852,0.555916599,0.6541353383,0.6666666667,2
MRSA Northeast,2018,White,0.5194610778,0.3899792759,0.4147952444,0.3455185486,0.3458646617,0.2916666667,3
MRSA Northeast,2018,Black,0.1901197605,0.1974887236,0.1730515192,0.2254264825,0.3082706767,0.4166666667,4
MRSA Northeast,2018,FFS,0.0149700599,0.0085334634,0.1492734478,0.1280801516,0.1503759398,0.0,5
MRSA Northeast,2018,Dual Eligible,0.0,0.0,0.248348745,0.2784998646,0.7819548872,0.2083333333,6
MRSA Northeast,2018,Comorbidity Index,0.9116766467,0.4239912227,3.3804491413,2.7761982128,5.8496240602,6.625,7
MRSA West,2013,N,409.0,3070.0,591.0,2842.0,24.0,,0
MRSA West,2013,Age,11.389266427,9.9355211023,39.767597677,44.516404606,62.299583912,,1
MRSA West,2013,Female,0.4694376528,0.5218241042,0.5820642978,0.569669247,0.75,,2
MRSA West,2013,White,0.3838630807,0.2557003257,0.461928934,0.3265306122,0.7083333333,,3
MRSA West,2013,Black,0.0880195599,0.0416938111,0.0592216582,0.0450387051,0.1666666667,,4
MRSA West,2013,FFS,0.0733496333,0.0938110749,0.5719120135,0.6977480647,0.7916666667,,5
MRSA West,2013,Dual Eligible,0.0,0.0,0.3959390863,0.4785362421,0.7083333333,,6
MRSA West,2013,Comorbidity Index,1.1613691932,0.3905537459,3.1878172589,2.4764250528,5.3333333333,,7
MRSA West,2014,N,512.0,3214.0,569.0,3425.0,68.0,8.0,0
MRSA West,2014,Age,11.238222578,10.175678209,37.50750477,44.451069246,71.177795691,71.861251354,1
MRSA West,2014,Female,0.4765625,0.5208462974,0.5606326889,0.5927007299,0.7352941176,0.875,2
MRSA West,2014,White,0.36328125,0.2678904792,0.4551845343,0.3164963504,0.3970588235,0.5,3
MRSA West,2014,Black,0.087890625,0.0398257623,0.0773286467,0.0531386861,0.0735294118,0.0,4
MRSA West,2014,FFS,0.107421875,0.1014312383,0.5219683656,0.6794160584,0.9411764706,0.75,5
MRSA West,2014,Dual Eligible,0.0,0.0,0.3514938489,0.4616058394,0.9264705882,0.75,6
MRSA West,2014,Comorbidity Index,1.041015625,0.3985687617,3.1265377856,2.5445255474,5.3676470588,7.875,7
MRSA West,2015,N,679.0,3958.0,691.0,3015.0,172.0,11.0,0
MRSA West,2015,Age,11.299911561,10.375553238,38.395470685,38.046305496,70.999187492,65.868183136,1
MRSA West,2015,Female,0.4683357879,0.5257705912,0.522431259,0.5708126036,0.6511627907,0.9090909091,2
MRSA West,2015,White,0.3740795287,0.2774128348,0.3473227207,0.3247097844,0.4011627907,0.3636363636,3
MRSA West,2015,Black,0.1045655376,0.0356240526,0.0998552822,0.0474295191,0.0930232558,0.2727272727,4
MRSA West,2015,FFS,0.0544918999,0.0500252653,0.3285094067,0.4550580431,0.2558139535,0.0909090909,5
MRSA West,2015,Dual Eligible,0.0,0.0,0.2387843705,0.3651741294,0.9011627907,0.6363636364,6
MRSA West,2015,Comorbidity Index,1.0662739323,0.4393633148,3.0665701881,2.6895522388,5.273255814,8.2727272727,7
MRSA West,2016,N,770.0,3695.0,988.0,3408.0,107.0,49.0,0
MRSA West,2016,Age,11.629999927,10.416308451,38.133360662,40.101036177,75.668319346,62.11775589,1
MRSA West,2016,Female,0.4454545455,0.5299052774,0.4949392713,0.5915492958,0.7289719626,0.6530612245,2
MRSA West,2016,White,0.3948051948,0.3198917456,0.3846153846,0.3034037559,0.2710280374,0.3265306122,3
MRSA West,2016,Black,0.0753246753,0.0560216509,0.0931174089,0.0566314554,0.0560747664,0.0612244898,4
MRSA West,2016,FFS,0.1090909091,0.0549391069,0.4240890688,0.3773474178,0.261682243,0.0,5
MRSA West,2016,Dual Eligible,0.0,0.000270636,0.3512145749,0.3465375587,0.9345794393,0.2653061224,6
MRSA West,2016,Comorbidity Index,1.1363636364,0.4952638701,3.4929149798,3.0771713615,7.3177570093,6.5102040816,7
MRSA West,2017,N,773.0,5904.0,627.0,4481.0,294.0,76.0,0
MRSA West,2017,Age,11.101798117,10.287167951,36.603556969,42.473957123,73.40245062,73.986317032,1
MRSA West,2017,Female,0.4670116429,0.5252371274,0.4976076555,0.5991966079,0.6394557823,0.6973684211,2
MRSA West,2017,White,0.3893919793,0.3387533875,0.360446571,0.3401026557,0.2176870748,0.1842105263,3
MRSA West,2017,Black,0.0776196636,0.0525067751,0.0590111643,0.0618165588,0.0238095238,0.0131578947,4
MRSA West,2017,FFS,0.0763260026,0.0494579946,0.2424242424,0.3287212676,0.2346938776,0.0394736842,5
MRSA West,2017,Dual Eligible,0.0,0.0001693767,0.307814992,0.3780406159,0.9421768707,0.9605263158,6
MRSA West,2017,Comorbidity Index,1.0194049159,0.4185298103,3.0861244019,3.1008703414,4.8129251701,5.5657894737,7
MRSA West,2018,N,1061.0,7108.0,734.0,4441.0,548.0,267.0,0
MRSA West,2018,Age,11.218510766,10.10948783,35.89126736,40.459020887,72.233067227,75.486068997,1
MRSA West,2018,Female,0.4590009425,0.5101294316,0.4959128065,0.5762215717,0.6076642336,0.65917603,2
MRSA West,2018,White,0.3044297832,0.307259426,0.3351498638,0.3019590182,0.151459854,0.1460674157,3
MRSA West,2018,Black,0.0574929312,0.0513505909,0.0626702997,0.0529160099,0.0145985401,0.0037453184,4
MRSA West,2018,FFS,0.0113100848,0.0104108047,0.1621253406,0.1400585454,0.2408759124,0.0149812734,5
MRSA West,2018,Dual Eligible,0.0,0.0001406866,0.3079019074,0.3294303085,0.9197080292,1.0,6
MRSA West,2018,Comorbidity Index,0.9481621112,0.3764772088,3.1716621253,2.8092771898,5.0255474453,5.1722846442,7
Nueces SDA,2013,N,25.0,5215.0,47.0,2791.0,,,0
Nueces SDA,2013,Age,11.542399902,9.3655358838,38.597659862,23.115413958,,,1
Nueces SDA,2013,Female,0.52,0.4945349952,0.6382978723,0.4421354353,,,2
Nueces SDA,2013,White,0.28,0.1344199425,0.2978723404,0.1375850949,,,3
Nueces SDA,2013,Black,0.04,0.0329817833,0.085106383,0.0415621641,,,4
Nueces SDA,2013,FFS,0.12,0.0841802493,0.3829787234,0.623074167,,,5
Nueces SDA,2013,Dual Eligible,0.0,0.0,0.1276595745,0.127911143,,,6
Nueces SDA,2013,Comorbidity Index,1.24,0.564717162,3.2127659574,1.8796130419,,,7
Nueces SDA,2014,N,75.0,5452.0,39.0,2918.0,106.0,,0
Nueces SDA,2014,Age,11.725066579,9.4717974353,37.067949051,23.422974767,67.308020178,,1
Nueces SDA,2014,Female,0.4933333333,0.4976155539,0.5897435897,0.4362577108,0.6603773585,,2
Nueces SDA,2014,White,0.2133333333,0.1232575202,0.358974359,0.1124057574,0.1886792453,,3
Nueces SDA,2014,Black,0.0666666667,0.0355832722,0.0,0.0373543523,0.0,,4
Nueces SDA,2014,FFS,0.0133333333,0.0946441673,0.3076923077,0.6209732694,0.0660377358,,5
Nueces SDA,2014,Dual Eligible,0.0,0.0,0.1794871795,0.13570939,0.7735849057,,6
Nueces SDA,2014,Comorbidity Index,1.4266666667,0.5398019076,3.3333333333,1.9335161069,4.4433962264,,7
Nueces SDA,2015,N,144.0,6576.0,24.0,3029.0,968.0,277.0,0
Nueces SDA,2015,Age,11.218402705,9.6037271184,33.819583416,24.096342158,64.156189069,71.106752223,1
Nueces SDA,2015,Female,0.5069444444,0.503649635,0.5416666667,0.4460217894,0.6466942149,0.678700361,2
Nueces SDA,2015,White,0.1388888889,0.1292579075,0.3333333333,0.1066358534,0.2262396694,0.2202166065,3
Nueces SDA,2015,Black,0.0347222222,0.0389294404,0.0833333333,0.0363156157,0.0247933884,0.0324909747,4
Nueces SDA,2015,FFS,0.0138888889,0.027676399,0.3333333333,0.6157147573,0.1188016529,0.0144404332,5
Nueces SDA,2015,Dual Eligible,0.0,0.0,0.125,0.1350280621,0.6384297521,1.0,6
Nueces SDA,2015,Comorbidity Index,1.2638888889,0.5903284672,3.875,2.0234400792,5.076446281,5.9097472924,7
Nueces SDA,2016,N,182.0,7676.0,83.0,2967.0,1169.0,132.0,0
Nueces SDA,2016,Age,11.256593327,9.8108649631,36.601446175,23.243815416,62.549162694,72.391819838,1
Nueces SDA,2016,Female,0.521978022,0.5082073997,0.578313253,0.4304010785,0.6159110351,0.6590909091,2
Nueces SDA,2016,White,0.2087912088,0.1276706618,0.1927710843,0.0883046849,0.2027373824,0.1893939394,3
